id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1106232042732773371,Departamento Inés de Suárez,317718152,Jessica,,La Florida,-33.52456,-70.58866,Entire home/apt,87857,1,13,2024-08-11,2.06,1,133,13,
1106469816666246671,Departamento full equipado,167047531,Anibal,,Santiago,-33.44803,-70.65009,Entire home/apt,38000,2,12,2024-08-18,1.87,1,102,12,
1106554820118527713,Family department in Providencia,565720536,Fabian Marcelo,,Providencia,-33.4291583,-70.61923949999999,Entire home/apt,60000,1,5,2024-09-15,0.82,1,316,5,
1106616185818324879,Departamento Barrio El Golf,565740644,Claudio,,Las Condes,-33.41453,-70.58664,Entire home/apt,46000,2,20,2024-09-15,3.05,1,279,20,
1106617061918559359,Magnificent Santiago apartment.,562257453,Juan,,Estación Central,-33.4522463,-70.6897803,Entire home/apt,45979,1,1,2024-04-21,0.19,1,269,1,
1106743500342034743,Cercano al Centro,314157226,Roberto,,Santiago,-33.4505057,-70.6549995,Entire home/apt,23656,1,0,,,2,265,0,
1106765545454469303,Departamento genial ubicación,470907684,Soledad,,Providencia,-33.4221646,-70.60930429999999,Entire home/apt,50000,1,9,2024-08-31,1.71,4,210,9,
1106808000927846755,Sweet Home in Sanhattan,249312808,Daniela Andrea,,Las Condes,-33.416741,-70.6030433,Entire home/apt,50000,2,20,2024-09-22,3.13,2,165,20,
1106825681156705684,Habitación acogedora a pasos de metro La Moneda,528922618,Alojamiento Turístico,,Santiago,-33.44629,-70.65312,Private room,24471,2,2,2024-08-12,0.38,10,87,2,
1107118014685571574,Departamento en Santiago Centro,466958022,José,,Santiago,-33.45300867513654,-70.64833033829927,Entire home/apt,28786,1,76,2024-09-25,11.29,1,0,76,
1107168852247313519,Departamento Arriendo Diario,380428952,Carolina,,Estación Central,-33.4555226,-70.6930726,Entire home/apt,38000,2,1,2024-08-12,0.65,1,261,1,
1107180730124452279,Departamento amoblado,364864053,Francisca,,La Florida,-33.52677,-70.57587,Entire home/apt,62857,2,5,2024-07-31,1.21,1,193,5,
1107265392961124042,Depto Pedro Valdivia Norte,201799661,Sergio,,Providencia,-33.4170862323543,-70.6099133938551,Entire home/apt,70000,3,3,2024-08-23,0.55,1,229,3,
